Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.519,264.749,1.415,260,-0.865
SokobanLearning,0.524,266.931,1.447,260,-0.863
SokobanLearning,0.525,269.143,1.458,262,-0.861
SokobanLearning,0.524,271.345,1.456,260,-0.861
SokobanLearning,0.526,273.547,1.454,259,-0.860
SokobanLearning,0.529,275.709,1.428,260,-0.861
SokobanLearning,0.526,277.939,1.478,262,-0.859
SokobanLearning,0.521,280.098,1.449,260,-0.852
SokobanLearning,0.525,282.274,1.436,260,-0.850
SokobanLearning,0.524,284.442,1.424,258,-0.848
SokobanLearning,0.523,286.551,1.392,260,-0.848
SokobanLearning,0.527,288.723,1.419,260,-0.846
SokobanLearning,0.524,290.919,1.448,262,-0.846
SokobanLearning,0.524,293.141,1.468,259,-0.844
SokobanLearning,0.519,295.307,1.440,262,-0.843
SokobanLearning,0.526,297.451,1.426,260,-0.841
SokobanLearning,0.529,299.661,1.454,261,-0.835
SokobanLearning,0.529,301.891,1.488,262,-0.834
SokobanLearning,0.525,304.099,1.456,261,-0.833
SokobanLearning,0.528,306.257,1.439,258,-0.833
SokobanLearning,0.526,308.425,1.458,260,-0.831
SokobanLearning,0.526,310.625,1.476,257,-0.830
SokobanLearning,0.522,312.802,1.440,260,-0.828
SokobanLearning,0.526,315.015,1.464,262,-0.826
SokobanLearning,0.525,317.199,1.440,260,-0.825
SokobanLearning,0.527,319.427,1.481,260,-0.823
SokobanLearning,0.527,321.660,1.486,262,-0.821
SokobanLearning,0.526,323.845,1.438,260,-0.820
SokobanLearning,0.521,326.017,1.469,261,-0.819
SokobanLearning,0.526,328.184,1.428,260,-0.817
SokobanLearning,0.529,330.368,1.443,260,-0.816
SokobanLearning,0.528,332.580,1.480,262,-0.813
SokobanLearning,0.529,334.753,1.436,260,-0.812
SokobanLearning,0.523,336.983,1.494,260,-0.810
SokobanLearning,0.524,339.220,1.506,262,-0.807
SokobanLearning,0.527,341.486,1.501,260,-0.805
SokobanLearning,0.531,343.716,1.496,258,-0.805
SokobanLearning,0.531,345.979,1.503,260,-0.804
SokobanLearning,0.619,348.324,1.503,260,-0.802
SokobanLearning,0.547,350.572,1.493,262,-0.800
SokobanLearning,0.537,352.912,1.562,262,-0.799
SokobanLearning,0.529,355.180,1.522,260,-0.797
SokobanLearning,0.524,357.380,1.459,260,-0.796
SokobanLearning,0.529,359.578,1.458,262,-0.793
SokobanLearning,0.520,361.737,1.438,261,-0.792
SokobanLearning,0.519,363.919,1.452,260,-0.791
SokobanLearning,0.524,366.140,1.479,262,-0.790
SokobanLearning,0.522,368.297,1.433,261,-0.789
SokobanLearning,0.519,370.497,1.485,259,-0.788
SokobanLearning,0.526,372.712,1.470,261,-0.788
SokobanLearning,0.529,374.903,1.443,260,-0.786
SokobanLearning,0.523,377.078,1.461,260,-0.785
SokobanLearning,0.529,379.294,1.467,262,-0.782
SokobanLearning,0.534,381.576,1.509,260,-0.781
SokobanLearning,0.533,383.839,1.513,260,-0.780
SokobanLearning,0.523,386.077,1.509,262,-0.777
SokobanLearning,0.522,388.249,1.430,260,-0.776
SokobanLearning,0.523,390.427,1.447,257,-0.775
SokobanLearning,0.522,392.602,1.446,260,-0.773
SokobanLearning,0.526,394.820,1.472,262,-0.771
SokobanLearning,0.524,397.027,1.473,261,-0.770
SokobanLearning,0.529,399.235,1.469,261,-0.769
SokobanLearning,0.522,401.412,1.460,260,-0.768
SokobanLearning,0.528,403.617,1.462,259,-0.766
SokobanLearning,0.522,405.789,1.435,257,-0.765
SokobanLearning,0.521,407.951,1.431,260,-0.764
SokobanLearning,0.522,410.094,1.449,262,-0.764
SokobanLearning,0.523,412.321,1.491,261,-0.762
SokobanLearning,0.525,414.518,1.446,260,-0.761
SokobanLearning,0.527,416.721,1.458,261,-0.760
SokobanLearning,0.524,418.958,1.494,262,-0.758
SokobanLearning,0.524,421.156,1.453,260,-0.757
SokobanLearning,0.521,423.339,1.442,260,-0.756
SokobanLearning,0.525,425.491,1.416,258,-0.755
