Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.528,256.595,1.411,260,-1.604
SokobanLearning,0.527,258.775,1.431,260,-1.605
SokobanLearning,0.527,260.887,1.396,260,-1.606
SokobanLearning,0.526,263.011,1.400,258,-1.607
SokobanLearning,0.528,265.162,1.414,259,-1.608
SokobanLearning,0.522,267.293,1.411,260,-1.609
SokobanLearning,0.524,269.391,1.378,260,-1.609
SokobanLearning,0.525,271.532,1.395,260,-1.611
SokobanLearning,0.531,273.723,1.432,262,-1.612
SokobanLearning,0.526,275.858,1.413,260,-1.613
SokobanLearning,0.527,278.031,1.429,262,-1.613
SokobanLearning,0.531,280.267,1.481,262,-1.612
SokobanLearning,0.530,282.460,1.453,262,-1.614
SokobanLearning,0.528,284.604,1.428,260,-1.615
SokobanLearning,0.529,286.749,1.418,261,-1.617
SokobanLearning,0.527,288.877,1.410,259,-1.616
SokobanLearning,0.528,291.022,1.412,260,-1.617
SokobanLearning,0.530,293.189,1.431,261,-1.610
SokobanLearning,0.534,295.372,1.447,262,-1.610
SokobanLearning,0.532,297.561,1.457,260,-1.611
SokobanLearning,0.527,299.742,1.444,261,-1.610
SokobanLearning,0.530,301.954,1.455,262,-1.612
SokobanLearning,0.528,304.107,1.435,261,-1.612
SokobanLearning,0.527,306.241,1.397,260,-1.613
SokobanLearning,0.528,308.472,1.471,262,-1.624
SokobanLearning,0.527,310.655,1.433,257,-1.622
SokobanLearning,0.531,312.832,1.436,260,-1.623
SokobanLearning,0.532,315.002,1.418,260,-1.624
SokobanLearning,0.531,317.146,1.433,262,-1.623
SokobanLearning,0.525,319.316,1.435,262,-1.627
SokobanLearning,0.531,321.444,1.389,260,-1.627
SokobanLearning,0.527,323.597,1.419,260,-1.628
SokobanLearning,0.528,325.736,1.402,262,-1.629
SokobanLearning,0.528,327.852,1.381,260,-1.630
SokobanLearning,0.528,329.979,1.405,260,-1.631
SokobanLearning,0.519,332.141,1.423,259,-1.629
SokobanLearning,0.534,334.297,1.427,260,-1.630
SokobanLearning,0.523,336.431,1.398,262,-1.629
SokobanLearning,0.527,338.591,1.431,260,-1.630
SokobanLearning,0.563,340.819,1.442,262,-1.632
SokobanLearning,0.528,342.942,1.401,260,-1.632
SokobanLearning,0.524,345.106,1.427,257,-1.633
SokobanLearning,0.526,347.234,1.401,259,-1.634
SokobanLearning,0.528,349.390,1.431,257,-1.634
SokobanLearning,0.531,351.540,1.413,260,-1.634
SokobanLearning,0.530,353.773,1.485,262,-1.630
SokobanLearning,0.526,355.914,1.408,260,-1.631
SokobanLearning,0.528,358.101,1.433,259,-1.629
SokobanLearning,0.529,360.269,1.422,260,-1.630
SokobanLearning,0.530,362.475,1.460,260,-1.630
SokobanLearning,0.526,364.674,1.444,262,-1.632
SokobanLearning,0.528,366.840,1.455,260,-1.629
SokobanLearning,0.530,368.984,1.397,260,-1.629
SokobanLearning,0.565,371.139,1.397,260,-1.630
SokobanLearning,0.530,373.265,1.404,262,-1.632
SokobanLearning,0.529,375.381,1.378,260,-1.633
SokobanLearning,0.532,377.491,1.383,258,-1.632
SokobanLearning,0.526,379.635,1.412,262,-1.634
SokobanLearning,0.531,381.784,1.423,260,-1.634
SokobanLearning,0.529,383.953,1.442,260,-1.635
SokobanLearning,0.531,386.094,1.403,262,-1.636
SokobanLearning,0.529,388.273,1.421,260,-1.636
SokobanLearning,0.534,390.403,1.384,260,-1.637
SokobanLearning,0.533,392.541,1.393,261,-1.637
SokobanLearning,0.527,394.727,1.436,262,-1.639
SokobanLearning,0.525,396.913,1.437,260,-1.639
SokobanLearning,0.523,399.064,1.416,258,-1.640
SokobanLearning,0.559,401.234,1.388,260,-1.640
SokobanLearning,0.527,403.398,1.424,260,-1.641
SokobanLearning,0.528,405.538,1.419,262,-1.641
SokobanLearning,0.523,407.660,1.397,260,-1.642
SokobanLearning,0.527,409.776,1.383,260,-1.643
SokobanLearning,0.525,411.908,1.411,260,-1.643
SokobanLearning,0.528,414.031,1.403,261,-1.642
SokobanLearning,0.530,416.548,1.511,260,-1.643
SokobanLearning,0.523,418.650,1.371,260,-1.644
SokobanLearning,0.522,420.772,1.380,262,-1.645
SokobanLearning,0.523,422.865,1.371,260,-1.646
SokobanLearning,0.524,424.981,1.374,260,-1.647
SokobanLearning,0.527,427.146,1.424,262,-1.648
SokobanLearning,0.531,429.277,1.408,260,-1.649
SokobanLearning,0.530,431.475,1.461,260,-1.649
SokobanLearning,0.527,433.582,1.398,260,-1.650
SokobanLearning,0.533,435.808,1.466,262,-1.646
SokobanLearning,0.529,437.982,1.433,260,-1.647
SokobanLearning,0.532,440.169,1.445,258,-1.647
SokobanLearning,0.526,442.360,1.440,261,-1.648
SokobanLearning,0.528,444.525,1.422,262,-1.647
SokobanLearning,0.528,446.678,1.423,261,-1.647
SokobanLearning,0.526,448.816,1.445,261,-1.644
SokobanLearning,0.531,451.043,1.464,259,-1.631
SokobanLearning,0.526,453.187,1.426,259,-1.630
SokobanLearning,0.529,455.319,1.396,260,-1.631
SokobanLearning,0.527,457.521,1.446,262,-1.632
SokobanLearning,0.528,459.628,1.372,260,-1.633
SokobanLearning,0.524,461.769,1.403,260,-1.633
SokobanLearning,0.524,463.859,1.371,258,-1.633
SokobanLearning,0.526,465.993,1.403,257,-1.632
SokobanLearning,0.527,468.146,1.423,262,-1.630
SokobanLearning,0.526,470.261,1.399,262,-1.630
SokobanLearning,0.526,472.407,1.405,260,-1.629
SokobanLearning,0.517,474.507,1.382,258,-1.629
SokobanLearning,0.524,476.650,1.417,260,-1.628
SokobanLearning,0.520,478.791,1.392,260,-1.629
SokobanLearning,0.526,480.910,1.403,260,-1.629
