Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.745,3.707,1.945,258,-1.106
SokobanLearning,0.530,5.970,1.514,259,-0.965
SokobanLearning,0.524,8.272,1.546,261,-1.003
SokobanLearning,0.530,10.644,1.604,260,-1.026
SokobanLearning,0.526,12.931,1.544,261,-0.990
SokobanLearning,0.533,15.210,1.523,259,-0.974
SokobanLearning,0.531,17.523,1.552,257,-0.994
SokobanLearning,0.532,19.995,1.733,260,-0.987
SokobanLearning,0.527,22.352,1.587,259,-0.995
SokobanLearning,0.529,24.606,1.502,257,-1.000
SokobanLearning,0.520,26.758,1.423,258,-1.000
SokobanLearning,0.523,28.922,1.435,257,-1.042
SokobanLearning,0.526,31.096,1.443,257,-1.031
SokobanLearning,0.527,33.361,1.520,261,-1.042
SokobanLearning,0.532,35.691,1.580,261,-1.047
SokobanLearning,0.542,37.770,1.385,258,-1.047
SokobanLearning,0.529,39.816,1.351,258,-1.047
SokobanLearning,0.535,41.862,1.374,258,-1.047
SokobanLearning,0.538,43.981,1.398,259,-1.085
SokobanLearning,0.526,46.187,1.458,258,-1.085
SokobanLearning,0.528,48.325,1.406,258,-1.085
SokobanLearning,0.526,50.416,1.379,258,-1.085
SokobanLearning,0.526,52.598,1.452,258,-1.117
SokobanLearning,0.531,54.765,1.414,258,-1.124
SokobanLearning,0.532,56.877,1.377,258,-1.124
SokobanLearning,0.531,59.017,1.386,258,-1.124
SokobanLearning,0.531,61.169,1.394,258,-1.124
SokobanLearning,0.532,63.345,1.435,262,-1.151
SokobanLearning,0.532,65.479,1.395,258,-1.151
SokobanLearning,0.528,67.596,1.368,258,-1.151
SokobanLearning,0.528,69.763,1.432,262,-1.177
SokobanLearning,0.529,71.859,1.359,258,-1.177
SokobanLearning,0.527,74.001,1.412,262,-1.189
SokobanLearning,0.519,76.098,1.359,258,-1.189
SokobanLearning,0.519,78.189,1.366,259,-1.201
SokobanLearning,0.526,80.248,1.328,258,-1.201
SokobanLearning,0.522,82.393,1.413,258,-1.201
SokobanLearning,0.521,84.478,1.365,258,-1.201
SokobanLearning,0.526,86.678,1.497,259,-1.227
SokobanLearning,0.526,88.876,1.451,258,-1.227
SokobanLearning,0.526,91.030,1.423,258,-1.227
SokobanLearning,0.528,93.192,1.432,258,-1.227
SokobanLearning,0.528,95.380,1.448,262,-1.253
SokobanLearning,0.529,97.614,1.479,258,-1.253
SokobanLearning,0.527,99.780,1.434,258,-1.253
SokobanLearning,0.531,102.001,1.472,258,-1.253
SokobanLearning,0.531,104.204,1.504,262,-1.279
SokobanLearning,0.521,106.410,1.480,258,-1.279
SokobanLearning,0.530,108.550,1.407,258,-1.279
SokobanLearning,0.568,110.802,1.465,258,-1.279
SokobanLearning,0.530,113.025,1.493,262,-1.305
SokobanLearning,0.528,115.192,1.419,258,-1.305
SokobanLearning,0.528,117.350,1.407,258,-1.305
SokobanLearning,0.530,119.508,1.437,258,-1.305
SokobanLearning,0.532,121.684,1.456,262,-1.331
SokobanLearning,0.526,123.818,1.406,258,-1.331
SokobanLearning,0.530,125.956,1.402,258,-1.331
SokobanLearning,0.525,128.124,1.428,258,-1.331
SokobanLearning,0.533,130.355,1.470,262,-1.356
SokobanLearning,0.523,132.488,1.403,258,-1.356
SokobanLearning,0.531,134.626,1.410,258,-1.356
SokobanLearning,0.530,136.767,1.436,258,-1.356
SokobanLearning,0.534,138.966,1.460,258,-1.379
SokobanLearning,0.527,141.182,1.463,258,-1.379
SokobanLearning,0.530,143.358,1.419,258,-1.379
SokobanLearning,0.528,145.520,1.416,258,-1.379
SokobanLearning,0.528,147.720,1.451,261,-1.401
SokobanLearning,0.528,149.874,1.403,258,-1.401
SokobanLearning,0.529,152.082,1.462,258,-1.401
SokobanLearning,0.526,154.193,1.431,258,-1.401
SokobanLearning,0.530,156.377,1.437,261,-1.420
SokobanLearning,0.530,158.587,1.450,258,-1.420
SokobanLearning,0.525,160.716,1.396,258,-1.420
SokobanLearning,0.533,162.884,1.416,258,-1.420
SokobanLearning,0.532,165.139,1.495,262,-1.443
SokobanLearning,0.528,167.350,1.461,258,-1.443
SokobanLearning,0.532,169.506,1.419,258,-1.443
SokobanLearning,0.531,171.669,1.467,258,-1.443
SokobanLearning,0.533,173.832,1.442,257,-1.463
SokobanLearning,0.531,176.047,1.461,257,-1.464
SokobanLearning,0.529,178.229,1.436,258,-1.464
SokobanLearning,0.532,180.446,1.468,258,-1.464
SokobanLearning,0.520,182.591,1.416,258,-1.464
SokobanLearning,0.523,184.734,1.419,258,-1.481
SokobanLearning,0.532,186.890,1.444,258,-1.481
SokobanLearning,0.529,189.008,1.432,258,-1.481
SokobanLearning,0.528,191.143,1.446,262,-1.502
SokobanLearning,0.528,193.309,1.423,258,-1.502
SokobanLearning,0.522,195.421,1.394,258,-1.502
SokobanLearning,0.520,197.523,1.378,258,-1.502
SokobanLearning,0.526,199.682,1.429,262,-1.524
SokobanLearning,0.529,201.858,1.410,258,-1.524
SokobanLearning,0.526,203.953,1.406,258,-1.524
