Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.747,3.645,1.865,260,-1.101
SokobanLearning,0.525,5.749,1.375,261,-1.122
SokobanLearning,0.524,7.886,1.407,262,-0.938
SokobanLearning,0.525,10.041,1.418,258,-0.985
SokobanLearning,0.527,12.191,1.405,257,-0.958
SokobanLearning,0.528,14.378,1.423,261,-0.986
SokobanLearning,0.535,16.639,1.489,260,-0.996
SokobanLearning,0.524,18.844,1.456,257,-1.011
SokobanLearning,0.531,21.027,1.425,257,-0.962
SokobanLearning,0.529,23.207,1.417,257,-0.978
SokobanLearning,0.530,25.313,1.360,259,-0.964
SokobanLearning,0.526,27.447,1.384,261,-0.969
SokobanLearning,0.529,29.629,1.426,261,-0.985
SokobanLearning,0.521,31.788,1.405,262,-0.994
SokobanLearning,0.525,33.974,1.431,261,-0.997
SokobanLearning,0.525,36.166,1.440,258,-1.005
SokobanLearning,0.522,38.312,1.406,258,-1.014
SokobanLearning,0.522,40.491,1.432,258,-0.995
SokobanLearning,0.525,42.687,1.449,260,-0.977
SokobanLearning,0.524,44.908,1.461,262,-0.984
SokobanLearning,0.530,47.133,1.476,260,-0.978
SokobanLearning,0.521,49.362,1.478,259,-0.973
SokobanLearning,0.524,51.596,1.504,260,-0.982
SokobanLearning,0.525,53.824,1.486,262,-0.977
SokobanLearning,0.532,56.014,1.433,258,-0.983
SokobanLearning,0.528,58.237,1.464,260,-0.991
SokobanLearning,0.527,60.447,1.448,257,-0.996
SokobanLearning,0.526,62.674,1.466,258,-0.999
SokobanLearning,0.528,64.897,1.463,262,-1.004
SokobanLearning,0.524,67.073,1.437,258,-1.004
SokobanLearning,0.526,69.176,1.410,257,-1.018
SokobanLearning,0.522,71.406,1.483,262,-1.005
SokobanLearning,0.528,73.548,1.414,257,-1.008
SokobanLearning,0.530,75.750,1.446,261,-1.018
SokobanLearning,0.529,77.932,1.432,258,-1.018
SokobanLearning,0.556,80.107,1.409,261,-1.025
SokobanLearning,0.525,82.220,1.377,258,-1.025
SokobanLearning,0.522,84.332,1.394,258,-1.025
SokobanLearning,0.524,86.390,1.370,257,-1.048
SokobanLearning,0.522,88.512,1.391,258,-1.051
SokobanLearning,0.523,90.673,1.417,261,-1.060
SokobanLearning,0.523,92.770,1.358,258,-1.060
SokobanLearning,0.521,94.831,1.348,259,-1.071
SokobanLearning,0.520,96.960,1.386,258,-1.071
SokobanLearning,0.521,99.050,1.351,258,-1.071
SokobanLearning,0.529,101.121,1.372,258,-1.071
SokobanLearning,0.517,103.208,1.404,262,-1.091
SokobanLearning,0.520,105.252,1.335,258,-1.091
SokobanLearning,0.526,107.337,1.366,258,-1.091
SokobanLearning,0.523,109.449,1.394,258,-1.091
SokobanLearning,0.524,111.678,1.476,262,-1.110
SokobanLearning,0.531,113.808,1.398,258,-1.110
SokobanLearning,0.529,115.972,1.407,258,-1.110
SokobanLearning,0.527,118.082,1.419,258,-1.110
SokobanLearning,0.531,120.281,1.490,262,-1.128
SokobanLearning,0.527,122.418,1.400,258,-1.128
SokobanLearning,0.530,124.569,1.399,258,-1.128
SokobanLearning,0.522,126.717,1.398,258,-1.128
SokobanLearning,0.522,128.861,1.400,262,-1.147
SokobanLearning,0.524,130.941,1.352,258,-1.147
SokobanLearning,0.522,133.038,1.377,258,-1.147
SokobanLearning,0.517,135.045,1.337,258,-1.147
SokobanLearning,0.525,137.112,1.351,262,-1.166
SokobanLearning,0.526,139.230,1.400,258,-1.166
SokobanLearning,0.523,141.385,1.393,258,-1.166
SokobanLearning,0.530,143.543,1.421,258,-1.166
SokobanLearning,0.526,145.723,1.437,262,-1.184
SokobanLearning,0.527,147.873,1.410,258,-1.184
SokobanLearning,0.524,149.993,1.406,258,-1.184
SokobanLearning,0.522,152.059,1.403,262,-1.202
SokobanLearning,0.525,154.185,1.390,258,-1.202
SokobanLearning,0.525,156.330,1.396,258,-1.202
SokobanLearning,0.521,158.510,1.436,258,-1.202
SokobanLearning,0.528,160.684,1.441,262,-1.220
SokobanLearning,0.532,162.874,1.443,258,-1.220
SokobanLearning,0.526,165.039,1.414,258,-1.220
SokobanLearning,0.526,167.125,1.393,258,-1.220
SokobanLearning,0.524,169.224,1.416,262,-1.238
SokobanLearning,0.523,171.386,1.426,258,-1.238
SokobanLearning,0.523,173.484,1.386,258,-1.238
SokobanLearning,0.522,175.609,1.377,258,-1.238
SokobanLearning,0.520,177.736,1.387,262,-1.256
SokobanLearning,0.519,179.832,1.371,258,-1.256
SokobanLearning,0.520,181.918,1.358,258,-1.256
SokobanLearning,0.527,183.952,1.353,258,-1.256
