Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GridWorldLearning,0.537,276.577,1.827,259,0.446
GridWorldLearning,0.531,279.206,1.811,260,0.452
GridWorldLearning,0.525,281.676,1.673,259,0.462
GridWorldLearning,0.525,284.227,1.746,257,0.471
GridWorldLearning,0.528,287.001,1.961,257,0.480
GridWorldLearning,0.524,289.777,1.962,259,0.486
GridWorldLearning,0.525,292.398,1.815,262,0.494
GridWorldLearning,0.528,295.180,1.981,257,0.502
GridWorldLearning,0.531,298.119,2.107,260,0.509
GridWorldLearning,0.528,300.959,2.032,258,0.518
GridWorldLearning,0.538,303.841,2.043,260,0.525
GridWorldLearning,0.534,306.847,2.165,257,0.532
GridWorldLearning,0.531,309.833,2.159,257,0.540
GridWorldLearning,0.528,312.662,2.005,258,0.544
GridWorldLearning,0.532,315.384,1.911,258,0.550
GridWorldLearning,0.532,318.082,1.883,258,0.555
GridWorldLearning,0.528,320.758,1.871,261,0.560
GridWorldLearning,0.533,323.532,1.967,259,0.562
GridWorldLearning,0.525,326.310,1.945,262,0.566
GridWorldLearning,0.525,328.885,1.790,258,0.571
GridWorldLearning,0.525,331.575,1.873,257,0.573
GridWorldLearning,0.546,334.293,1.873,258,0.578
GridWorldLearning,0.529,337.016,1.903,259,0.584
GridWorldLearning,0.532,339.664,1.834,257,0.588
GridWorldLearning,0.539,342.434,1.928,257,0.593
GridWorldLearning,0.536,345.162,1.912,261,0.596
GridWorldLearning,0.532,347.884,1.903,259,0.600
GridWorldLearning,0.532,350.598,1.891,258,0.603
GridWorldLearning,0.529,353.314,1.881,261,0.605
GridWorldLearning,0.540,356.070,1.934,259,0.608
GridWorldLearning,0.531,358.909,2.004,258,0.611
GridWorldLearning,0.533,361.651,1.940,258,0.613
GridWorldLearning,0.541,364.483,1.992,259,0.616
GridWorldLearning,0.537,367.245,1.946,258,0.618
GridWorldLearning,0.530,369.702,1.673,260,0.621
GridWorldLearning,0.527,372.384,1.870,258,0.622
GridWorldLearning,0.533,375.080,1.866,259,0.625
GridWorldLearning,0.527,377.757,1.878,257,0.627
GridWorldLearning,0.526,380.406,1.831,258,0.629
GridWorldLearning,0.528,383.125,1.896,260,0.632
GridWorldLearning,0.526,385.789,1.849,257,0.634
GridWorldLearning,0.527,388.429,1.829,260,0.637
GridWorldLearning,0.527,391.093,1.853,259,0.638
GridWorldLearning,0.535,393.929,1.999,258,0.640
GridWorldLearning,0.533,396.710,1.962,260,0.642
GridWorldLearning,0.528,399.412,1.876,257,0.645
GridWorldLearning,0.529,402.192,1.941,257,0.646
GridWorldLearning,0.526,404.944,1.920,261,0.647
GridWorldLearning,0.531,407.665,1.895,257,0.650
GridWorldLearning,0.539,410.456,1.960,258,0.652
GridWorldLearning,0.534,413.180,1.899,257,0.655
GridWorldLearning,0.531,415.905,1.914,257,0.656
GridWorldLearning,0.530,418.631,1.927,259,0.658
GridWorldLearning,0.525,421.333,1.895,258,0.658
