Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.527,250.065,1.365,260,-2.237
SokobanLearning,0.525,252.151,1.376,258,-2.237
SokobanLearning,0.521,254.236,1.381,260,-2.251
SokobanLearning,0.531,256.334,1.350,258,-2.251
SokobanLearning,0.534,258.487,1.404,260,-2.265
SokobanLearning,0.539,260.643,1.401,258,-2.265
SokobanLearning,0.526,262.817,1.433,260,-2.376
SokobanLearning,0.529,264.952,1.413,260,-2.387
SokobanLearning,0.523,267.107,1.412,258,-2.387
SokobanLearning,0.523,269.248,1.393,260,-2.406
SokobanLearning,0.528,271.371,1.378,258,-2.406
SokobanLearning,0.522,273.496,1.379,260,-2.419
SokobanLearning,0.525,275.604,1.368,258,-2.419
SokobanLearning,0.523,277.741,1.386,260,-2.432
SokobanLearning,0.521,279.793,1.339,258,-2.432
SokobanLearning,0.523,281.920,1.404,260,-2.444
SokobanLearning,0.526,284.026,1.357,258,-2.444
SokobanLearning,0.525,286.148,1.370,261,-2.450
SokobanLearning,0.526,288.262,1.374,258,-2.450
SokobanLearning,0.524,290.390,1.398,258,-2.456
SokobanLearning,0.524,292.480,1.355,258,-2.456
SokobanLearning,0.524,294.594,1.364,260,-2.468
SokobanLearning,0.525,296.632,1.337,258,-2.468
SokobanLearning,0.522,298.753,1.376,260,-2.480
SokobanLearning,0.529,300.866,1.366,260,-2.492
SokobanLearning,0.524,302.981,1.378,258,-2.492
SokobanLearning,0.523,305.096,1.377,260,-2.504
SokobanLearning,0.523,307.225,1.381,258,-2.504
SokobanLearning,0.523,309.339,1.374,260,-2.541
SokobanLearning,0.531,311.462,1.369,258,-2.541
SokobanLearning,0.525,313.519,1.356,260,-2.555
SokobanLearning,0.522,315.629,1.378,258,-2.555
SokobanLearning,0.525,317.756,1.388,260,-2.566
SokobanLearning,0.526,319.849,1.356,258,-2.566
SokobanLearning,0.523,321.951,1.366,260,-2.577
SokobanLearning,0.527,324.066,1.374,258,-2.577
SokobanLearning,0.519,326.183,1.384,260,-2.588
SokobanLearning,0.527,328.224,1.347,258,-2.588
SokobanLearning,0.523,330.294,1.368,260,-2.601
SokobanLearning,0.526,332.387,1.358,258,-2.601
SokobanLearning,0.524,334.491,1.371,260,-2.612
SokobanLearning,0.523,336.603,1.377,258,-2.612
SokobanLearning,0.525,338.727,1.385,260,-2.623
SokobanLearning,0.525,340.826,1.356,258,-2.623
SokobanLearning,0.518,342.950,1.397,260,-2.634
SokobanLearning,0.524,345.001,1.350,258,-2.634
SokobanLearning,0.526,347.110,1.365,260,-2.645
SokobanLearning,0.522,349.157,1.344,258,-2.645
SokobanLearning,0.525,351.290,1.383,260,-2.655
SokobanLearning,0.524,353.389,1.355,258,-2.655
SokobanLearning,0.520,355.486,1.368,260,-2.666
SokobanLearning,0.524,357.608,1.375,260,-2.676
SokobanLearning,0.524,359.731,1.374,260,-2.673
SokobanLearning,0.525,361.791,1.384,258,-2.673
SokobanLearning,0.520,363.900,1.388,260,-2.683
SokobanLearning,0.522,365.919,1.311,258,-2.683
SokobanLearning,0.524,368.045,1.389,260,-2.693
SokobanLearning,0.525,370.146,1.360,258,-2.693
SokobanLearning,0.524,372.260,1.366,260,-2.703
SokobanLearning,0.526,374.359,1.350,258,-2.703
SokobanLearning,0.525,376.472,1.387,260,-2.713
SokobanLearning,0.522,378.524,1.380,260,-2.723
SokobanLearning,0.521,380.624,1.394,258,-2.723
SokobanLearning,0.525,382.740,1.371,260,-2.733
SokobanLearning,0.525,384.850,1.375,258,-2.733
SokobanLearning,0.525,386.965,1.379,260,-2.742
SokobanLearning,0.523,389.066,1.356,258,-2.742
SokobanLearning,0.530,391.156,1.359,260,-2.752
SokobanLearning,0.524,393.230,1.372,258,-2.752
SokobanLearning,0.524,395.287,1.365,260,-2.762
SokobanLearning,0.525,397.351,1.345,258,-2.762
SokobanLearning,0.524,399.460,1.371,260,-2.774
SokobanLearning,0.527,401.568,1.361,258,-2.774
SokobanLearning,0.523,403.688,1.376,260,-2.784
SokobanLearning,0.526,405.811,1.383,258,-2.784
SokobanLearning,0.526,407.916,1.361,259,-2.788
