Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.734,3.446,1.720,257,-0.945
SokobanLearning,0.522,5.649,1.454,262,-0.981
SokobanLearning,0.527,7.990,1.590,261,-1.040
SokobanLearning,0.545,9.977,1.255,260,-1.078
SokobanLearning,0.524,12.103,1.394,257,-0.982
SokobanLearning,0.522,14.407,1.558,259,-0.995
SokobanLearning,0.529,16.584,1.430,259,-1.036
SokobanLearning,0.535,18.691,1.382,258,-1.062
SokobanLearning,0.526,20.777,1.372,257,-1.076
SokobanLearning,0.523,22.841,1.337,257,-1.105
SokobanLearning,0.526,25.093,1.511,262,-1.120
SokobanLearning,0.514,27.205,1.383,261,-1.131
SokobanLearning,0.524,29.490,1.533,259,-1.138
SokobanLearning,0.520,31.685,1.461,257,-1.154
SokobanLearning,0.524,33.739,1.320,258,-1.174
SokobanLearning,0.523,35.875,1.438,260,-1.176
SokobanLearning,0.532,38.059,1.424,257,-1.186
SokobanLearning,0.526,40.261,1.458,260,-1.203
SokobanLearning,0.524,42.350,1.343,261,-1.207
SokobanLearning,0.523,44.495,1.409,260,-1.219
SokobanLearning,0.539,46.644,1.396,262,-1.231
SokobanLearning,0.522,48.741,1.357,260,-1.229
SokobanLearning,0.529,50.910,1.431,260,-1.240
SokobanLearning,0.528,53.049,1.390,261,-1.247
SokobanLearning,0.521,55.314,1.528,258,-1.254
SokobanLearning,0.542,57.427,1.356,259,-1.260
SokobanLearning,0.528,59.616,1.458,260,-1.265
SokobanLearning,0.522,61.861,1.508,260,-1.270
SokobanLearning,0.552,64.058,1.437,262,-1.281
SokobanLearning,0.546,66.351,1.526,260,-1.286
SokobanLearning,0.527,68.577,1.491,258,-1.287
SokobanLearning,0.531,70.831,1.497,257,-1.291
SokobanLearning,0.527,72.958,1.378,262,-1.301
SokobanLearning,0.532,75.161,1.456,262,-1.304
SokobanLearning,0.525,77.280,1.374,260,-1.308
SokobanLearning,0.526,79.425,1.397,260,-1.312
SokobanLearning,0.531,81.559,1.386,259,-1.321
SokobanLearning,0.530,83.722,1.417,260,-1.324
SokobanLearning,0.528,85.886,1.425,262,-1.333
SokobanLearning,0.531,87.985,1.371,257,-1.338
SokobanLearning,0.524,90.075,1.349,262,-1.344
SokobanLearning,0.525,92.192,1.375,260,-1.348
SokobanLearning,0.527,94.441,1.496,260,-1.352
SokobanLearning,0.530,96.551,1.361,261,-1.361
SokobanLearning,0.530,98.705,1.407,260,-1.365
SokobanLearning,0.529,100.891,1.451,262,-1.373
SokobanLearning,0.524,103.033,1.409,260,-1.377
SokobanLearning,0.530,105.207,1.424,260,-1.380
SokobanLearning,0.525,107.356,1.417,262,-1.388
SokobanLearning,0.527,109.575,1.476,260,-1.391
SokobanLearning,0.527,111.724,1.396,260,-1.395
SokobanLearning,0.526,113.825,1.384,262,-1.402
SokobanLearning,0.528,115.967,1.389,260,-1.405
SokobanLearning,0.527,117.981,1.300,260,-1.408
SokobanLearning,0.529,120.122,1.406,260,-1.412
SokobanLearning,0.526,122.307,1.437,262,-1.418
SokobanLearning,0.526,124.470,1.428,260,-1.422
SokobanLearning,0.525,126.594,1.388,260,-1.425
SokobanLearning,0.530,128.733,1.383,262,-1.431
SokobanLearning,0.527,130.875,1.407,260,-1.434
SokobanLearning,0.535,132.983,1.375,260,-1.437
SokobanLearning,0.524,135.040,1.330,262,-1.443
SokobanLearning,0.523,137.082,1.294,260,-1.446
SokobanLearning,0.525,139.002,1.207,260,-1.449
SokobanLearning,0.520,141.102,1.367,260,-1.452
SokobanLearning,0.521,143.241,1.402,262,-1.458
SokobanLearning,0.536,145.342,1.369,260,-1.461
SokobanLearning,0.524,147.599,1.514,260,-1.463
SokobanLearning,0.527,149.715,1.396,262,-1.469
SokobanLearning,0.532,151.860,1.402,260,-1.472
SokobanLearning,0.547,154.028,1.407,260,-1.474
SokobanLearning,0.532,156.149,1.388,262,-1.479
SokobanLearning,0.533,158.299,1.397,260,-1.482
SokobanLearning,0.531,160.438,1.396,260,-1.485
SokobanLearning,0.531,162.655,1.468,260,-1.487
SokobanLearning,0.562,164.636,1.224,262,-1.492
SokobanLearning,0.525,166.687,1.353,260,-1.495
SokobanLearning,0.534,168.791,1.368,260,-1.497
SokobanLearning,0.527,171.005,1.474,262,-1.502
SokobanLearning,0.537,173.092,1.330,260,-1.504
SokobanLearning,0.525,175.283,1.456,260,-1.507
SokobanLearning,0.531,177.582,1.552,262,-1.511
SokobanLearning,0.530,179.693,1.358,260,-1.514
SokobanLearning,0.528,181.798,1.369,260,-1.516
SokobanLearning,0.523,183.876,1.345,262,-1.520
SokobanLearning,0.526,186.018,1.412,260,-1.522
SokobanLearning,0.526,187.942,1.188,260,-1.525
SokobanLearning,0.526,190.114,1.422,260,-1.527
SokobanLearning,0.530,192.365,1.499,262,-1.531
SokobanLearning,0.528,194.396,1.287,260,-1.533
SokobanLearning,0.526,196.488,1.353,260,-1.535
SokobanLearning,0.526,198.601,1.406,262,-1.539
SokobanLearning,0.534,200.759,1.411,260,-1.541
SokobanLearning,0.527,203.004,1.493,260,-1.543
SokobanLearning,0.524,205.081,1.325,262,-1.547
SokobanLearning,0.538,207.310,1.463,260,-1.549
SokobanLearning,0.534,209.542,1.464,260,-1.551
SokobanLearning,0.522,211.610,1.344,260,-1.553
SokobanLearning,0.526,213.768,1.407,262,-1.557
SokobanLearning,0.527,215.872,1.380,260,-1.559
SokobanLearning,0.530,218.025,1.413,260,-1.560
SokobanLearning,0.520,220.205,1.449,258,-1.561
SokobanLearning,0.533,222.359,1.412,262,-1.565
SokobanLearning,0.527,224.479,1.379,258,-1.565
SokobanLearning,0.545,226.795,1.546,260,-1.567
SokobanLearning,0.536,228.931,1.387,262,-1.570
SokobanLearning,0.530,231.137,1.479,260,-1.572
SokobanLearning,0.530,233.280,1.415,260,-1.574
SokobanLearning,0.528,235.439,1.408,260,-1.576
SokobanLearning,0.535,237.646,1.441,262,-1.579
SokobanLearning,0.526,239.785,1.393,260,-1.581
SokobanLearning,0.525,241.912,1.383,260,-1.582
SokobanLearning,0.524,244.084,1.428,259,-1.583
SokobanLearning,0.526,246.209,1.374,260,-1.585
SokobanLearning,0.527,248.332,1.389,260,-1.587
SokobanLearning,0.524,250.512,1.426,262,-1.590
SokobanLearning,0.525,252.620,1.366,260,-1.591
SokobanLearning,0.525,254.746,1.370,260,-1.593
SokobanLearning,0.533,256.984,1.486,260,-1.594
SokobanLearning,0.526,259.231,1.504,262,-1.598
SokobanLearning,0.531,261.464,1.484,260,-1.599
SokobanLearning,0.527,263.509,1.327,260,-1.601
SokobanLearning,0.527,265.778,1.541,262,-1.603
SokobanLearning,0.526,267.857,1.330,260,-1.605
SokobanLearning,0.524,269.944,1.334,260,-1.606
SokobanLearning,0.530,272.090,1.390,262,-1.609
SokobanLearning,0.535,274.395,1.558,260,-1.611
SokobanLearning,0.525,276.307,1.201,260,-1.612
SokobanLearning,0.527,278.389,1.337,259,-1.615
SokobanLearning,0.527,280.499,1.397,260,-1.617
SokobanLearning,0.527,282.631,1.398,262,-1.619
SokobanLearning,0.530,284.840,1.459,260,-1.621
SokobanLearning,0.558,287.272,1.654,260,-1.622
SokobanLearning,0.534,289.222,1.217,260,-1.623
SokobanLearning,0.533,291.314,1.345,262,-1.626
SokobanLearning,0.535,293.586,1.506,260,-1.627
SokobanLearning,0.527,295.629,1.305,260,-1.629
SokobanLearning,0.529,297.642,1.303,262,-1.631
SokobanLearning,0.525,299.761,1.373,260,-1.632
SokobanLearning,0.526,301.889,1.383,260,-1.634
SokobanLearning,0.525,304.020,1.395,262,-1.636
SokobanLearning,0.526,306.143,1.385,260,-1.637
SokobanLearning,0.525,308.255,1.382,260,-1.639
SokobanLearning,0.527,310.399,1.396,262,-1.641
SokobanLearning,0.528,312.518,1.376,260,-1.642
SokobanLearning,0.527,314.600,1.366,260,-1.643
SokobanLearning,0.524,316.728,1.392,260,-1.645
SokobanLearning,0.525,318.878,1.409,262,-1.647
SokobanLearning,0.524,320.958,1.358,260,-1.648
SokobanLearning,0.527,323.067,1.365,260,-1.649
SokobanLearning,0.526,325.213,1.406,262,-1.652
SokobanLearning,0.523,327.330,1.374,260,-1.653
SokobanLearning,0.529,329.426,1.391,260,-1.654
SokobanLearning,0.526,331.557,1.391,262,-1.656
SokobanLearning,0.523,333.676,1.383,260,-1.657
SokobanLearning,0.526,335.814,1.397,260,-1.658
SokobanLearning,0.524,337.944,1.388,260,-1.659
SokobanLearning,0.525,340.098,1.412,262,-1.662
SokobanLearning,0.523,342.235,1.396,260,-1.663
SokobanLearning,0.526,344.360,1.372,260,-1.664
SokobanLearning,0.526,346.451,1.394,262,-1.666
SokobanLearning,0.530,348.701,1.495,260,-1.667
SokobanLearning,0.528,350.862,1.408,260,-1.668
SokobanLearning,0.527,352.996,1.383,262,-1.670
SokobanLearning,0.526,355.128,1.392,260,-1.671
SokobanLearning,0.530,357.300,1.433,260,-1.672
SokobanLearning,0.525,359.451,1.404,260,-1.673
SokobanLearning,0.523,361.709,1.511,262,-1.675
SokobanLearning,0.527,363.846,1.392,260,-1.676
SokobanLearning,0.524,365.982,1.386,260,-1.677
SokobanLearning,0.525,368.114,1.382,262,-1.679
SokobanLearning,0.527,370.238,1.375,260,-1.680
SokobanLearning,0.530,372.359,1.385,260,-1.681
SokobanLearning,0.524,374.491,1.389,262,-1.683
SokobanLearning,0.527,376.597,1.369,260,-1.684
SokobanLearning,0.526,378.706,1.374,260,-1.685
SokobanLearning,0.526,380.866,1.414,262,-1.686
SokobanLearning,0.519,382.976,1.380,260,-1.687
