Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.526,385.107,1.390,260,-1.688
SokobanLearning,0.526,387.236,1.387,260,-1.689
SokobanLearning,0.525,389.365,1.393,262,-1.691
SokobanLearning,0.528,391.483,1.378,260,-1.692
SokobanLearning,0.525,393.613,1.388,260,-1.693
SokobanLearning,0.530,395.784,1.420,262,-1.695
SokobanLearning,0.526,397.913,1.391,260,-1.695
SokobanLearning,0.526,400.043,1.393,260,-1.696
SokobanLearning,0.524,402.189,1.403,262,-1.698
SokobanLearning,0.526,404.349,1.415,260,-1.699
SokobanLearning,0.526,406.513,1.412,260,-1.700
SokobanLearning,0.534,408.696,1.434,260,-1.701
SokobanLearning,0.560,411.204,1.467,262,-1.702
SokobanLearning,0.524,413.381,1.448,260,-1.703
SokobanLearning,0.526,415.520,1.380,260,-1.704
SokobanLearning,0.524,417.668,1.401,262,-1.706
SokobanLearning,0.525,419.800,1.377,260,-1.706
SokobanLearning,0.529,421.934,1.384,260,-1.707
SokobanLearning,0.522,424.091,1.414,262,-1.709
SokobanLearning,0.525,426.201,1.368,260,-1.710
SokobanLearning,0.527,428.312,1.377,260,-1.710
SokobanLearning,0.522,430.434,1.380,260,-1.711
SokobanLearning,0.525,432.571,1.386,262,-1.713
SokobanLearning,0.527,434.718,1.402,260,-1.713
SokobanLearning,0.522,436.848,1.383,260,-1.714
SokobanLearning,0.523,438.988,1.394,262,-1.716
SokobanLearning,0.525,441.131,1.396,260,-1.716
SokobanLearning,0.521,443.223,1.366,260,-1.717
SokobanLearning,0.528,445.429,1.465,262,-1.719
SokobanLearning,0.523,447.551,1.391,260,-1.719
SokobanLearning,0.524,449.691,1.389,260,-1.720
SokobanLearning,0.526,451.839,1.410,262,-1.722
SokobanLearning,0.528,453.980,1.395,260,-1.722
SokobanLearning,0.526,456.173,1.442,260,-1.723
SokobanLearning,0.537,458.529,1.588,260,-1.724
SokobanLearning,0.525,460.691,1.425,262,-1.725
SokobanLearning,0.526,462.868,1.446,260,-1.726
SokobanLearning,0.525,464.793,1.185,260,-1.727
SokobanLearning,0.527,466.731,1.194,262,-1.728
SokobanLearning,0.527,468.706,1.254,260,-1.729
SokobanLearning,0.531,470.814,1.363,260,-1.729
SokobanLearning,0.532,473.049,1.475,262,-1.731
SokobanLearning,0.526,474.940,1.166,260,-1.731
SokobanLearning,0.529,476.844,1.190,260,-1.732
SokobanLearning,0.533,478.926,1.354,260,-1.733
SokobanLearning,0.524,480.840,1.182,262,-1.734
SokobanLearning,0.528,482.834,1.247,260,-1.735
SokobanLearning,0.523,484.944,1.373,260,-1.735
SokobanLearning,0.524,487.097,1.419,262,-1.737
SokobanLearning,0.528,489.225,1.381,260,-1.737
SokobanLearning,0.526,491.335,1.371,260,-1.738
SokobanLearning,0.523,493.482,1.415,262,-1.739
SokobanLearning,0.526,495.630,1.403,260,-1.740
SokobanLearning,0.524,497.751,1.381,260,-1.741
SokobanLearning,0.526,499.888,1.402,260,-1.741
SokobanLearning,0.526,502.040,1.404,262,-1.743
SokobanLearning,0.524,504.150,1.362,260,-1.743
SokobanLearning,0.525,506.265,1.379,260,-1.744
SokobanLearning,0.526,508.392,1.396,262,-1.745
SokobanLearning,0.524,510.494,1.361,260,-1.746
SokobanLearning,0.525,512.617,1.376,260,-1.746
SokobanLearning,0.522,514.758,1.396,262,-1.747
SokobanLearning,0.525,516.875,1.373,260,-1.748
SokobanLearning,0.525,518.967,1.360,260,-1.749
SokobanLearning,0.524,521.098,1.386,262,-1.750
SokobanLearning,0.524,523.198,1.350,260,-1.750
SokobanLearning,0.525,525.298,1.383,260,-1.751
SokobanLearning,0.523,527.419,1.375,260,-1.752
SokobanLearning,0.524,529.577,1.416,262,-1.753
SokobanLearning,0.531,531.705,1.368,260,-1.753
SokobanLearning,0.525,533.824,1.385,260,-1.754
SokobanLearning,0.533,536.074,1.497,262,-1.755
SokobanLearning,0.527,538.178,1.373,260,-1.756
SokobanLearning,0.547,540.356,1.446,260,-1.756
SokobanLearning,0.519,542.416,1.362,262,-1.757
SokobanLearning,0.532,544.536,1.372,260,-1.758
SokobanLearning,0.527,546.838,1.567,260,-1.758
SokobanLearning,0.527,548.740,1.160,260,-1.759
SokobanLearning,0.527,550.829,1.338,262,-1.760
SokobanLearning,0.525,552.969,1.396,260,-1.760
SokobanLearning,0.526,555.099,1.391,260,-1.761
SokobanLearning,0.528,557.221,1.390,262,-1.762
SokobanLearning,0.523,559.352,1.385,260,-1.763
SokobanLearning,0.523,561.466,1.378,260,-1.763
SokobanLearning,0.525,563.606,1.388,262,-1.764
SokobanLearning,0.523,565.723,1.375,260,-1.765
SokobanLearning,0.524,567.850,1.371,260,-1.765
SokobanLearning,0.526,570.006,1.416,260,-1.766
SokobanLearning,0.523,572.006,1.273,262,-1.767
SokobanLearning,0.522,573.903,1.195,260,-1.767
SokobanLearning,0.526,576.664,2.029,260,-1.768
SokobanLearning,0.524,578.622,1.224,262,-1.769
SokobanLearning,0.525,580.569,1.222,260,-1.769
SokobanLearning,0.524,582.602,1.319,260,-1.770
SokobanLearning,0.523,584.799,1.451,262,-1.771
SokobanLearning,0.529,586.958,1.413,260,-1.771
SokobanLearning,0.525,589.050,1.375,260,-1.772
SokobanLearning,0.524,591.116,1.344,262,-1.773
SokobanLearning,0.527,593.240,1.378,260,-1.773
SokobanLearning,0.523,595.293,1.337,260,-1.774
SokobanLearning,0.524,597.417,1.384,260,-1.774
SokobanLearning,0.530,599.554,1.372,262,-1.775
SokobanLearning,0.527,601.708,1.405,260,-1.776
SokobanLearning,0.526,603.805,1.366,260,-1.776
SokobanLearning,0.530,605.932,1.404,262,-1.777
SokobanLearning,0.522,608.024,1.377,260,-1.777
SokobanLearning,0.518,610.092,1.366,260,-1.778
SokobanLearning,0.524,612.187,1.381,262,-1.779
SokobanLearning,0.524,614.268,1.361,260,-1.778
SokobanLearning,0.522,616.397,1.399,260,-1.779
SokobanLearning,0.526,618.523,1.382,260,-1.779
SokobanLearning,0.527,620.654,1.392,262,-1.780
SokobanLearning,0.523,622.789,1.394,260,-1.781
SokobanLearning,0.524,624.916,1.398,260,-1.781
SokobanLearning,0.522,626.981,1.346,260,-1.782
SokobanLearning,0.525,629.118,1.385,262,-1.782
SokobanLearning,0.526,631.261,1.397,260,-1.783
SokobanLearning,0.529,633.415,1.414,260,-1.783
SokobanLearning,0.524,635.350,1.204,262,-1.784
SokobanLearning,0.524,637.290,1.192,260,-1.785
SokobanLearning,0.525,639.382,1.375,260,-1.785
SokobanLearning,0.524,641.540,1.418,262,-1.786
SokobanLearning,0.527,643.681,1.399,260,-1.786
SokobanLearning,0.525,645.812,1.387,260,-1.787
SokobanLearning,0.520,647.952,1.403,262,-1.788
SokobanLearning,0.522,650.034,1.360,260,-1.788
SokobanLearning,0.522,652.089,1.343,260,-1.788
SokobanLearning,0.527,654.202,1.371,260,-1.789
SokobanLearning,0.529,656.373,1.416,262,-1.790
SokobanLearning,0.525,658.512,1.394,260,-1.790
SokobanLearning,0.528,660.634,1.388,260,-1.791
SokobanLearning,0.523,662.798,1.411,262,-1.791
SokobanLearning,0.522,664.926,1.380,260,-1.792
SokobanLearning,0.528,667.074,1.407,260,-1.792
SokobanLearning,0.526,669.222,1.397,262,-1.793
SokobanLearning,0.524,671.360,1.393,260,-1.793
SokobanLearning,0.528,673.495,1.388,260,-1.794
SokobanLearning,0.526,675.625,1.392,260,-1.794
SokobanLearning,0.526,677.767,1.401,262,-1.795
SokobanLearning,0.524,679.870,1.378,260,-1.795
SokobanLearning,0.524,681.984,1.380,260,-1.796
SokobanLearning,0.523,684.127,1.399,262,-1.796
SokobanLearning,0.524,686.206,1.351,260,-1.797
SokobanLearning,0.527,688.317,1.373,260,-1.797
SokobanLearning,0.529,690.472,1.404,262,-1.798
SokobanLearning,0.528,692.568,1.366,260,-1.798
SokobanLearning,0.525,694.684,1.373,260,-1.799
SokobanLearning,0.524,696.807,1.393,260,-1.799
SokobanLearning,0.526,698.956,1.397,262,-1.800
SokobanLearning,0.525,701.087,1.383,260,-1.800
SokobanLearning,0.526,703.194,1.381,260,-1.801
SokobanLearning,0.523,705.364,1.429,262,-1.801
SokobanLearning,0.522,707.491,1.385,260,-1.802
SokobanLearning,0.524,709.602,1.364,260,-1.802
SokobanLearning,0.526,711.746,1.400,262,-1.803
SokobanLearning,0.523,713.893,1.409,260,-1.803
SokobanLearning,0.527,716.065,1.419,260,-1.804
SokobanLearning,0.526,718.227,1.425,262,-1.804
SokobanLearning,0.524,720.381,1.418,260,-1.805
SokobanLearning,0.529,722.543,1.409,260,-1.805
SokobanLearning,0.525,724.669,1.378,260,-1.805
SokobanLearning,0.524,726.829,1.417,262,-1.806
SokobanLearning,0.527,728.968,1.398,260,-1.806
SokobanLearning,0.528,731.100,1.384,260,-1.807
SokobanLearning,0.527,733.244,1.402,262,-1.807
SokobanLearning,0.525,735.383,1.405,260,-1.808
SokobanLearning,0.527,737.507,1.385,260,-1.808
SokobanLearning,0.525,739.657,1.420,262,-1.809
SokobanLearning,0.527,741.809,1.399,260,-1.809
SokobanLearning,0.525,743.947,1.394,260,-1.810
SokobanLearning,0.523,746.069,1.380,260,-1.810
SokobanLearning,0.524,748.236,1.422,262,-1.811
SokobanLearning,0.524,750.370,1.390,260,-1.811
SokobanLearning,0.522,752.439,1.366,260,-1.811
SokobanLearning,0.521,754.569,1.388,262,-1.812
SokobanLearning,0.525,756.697,1.384,260,-1.812
SokobanLearning,0.525,758.799,1.363,260,-1.812
SokobanLearning,0.525,760.935,1.397,262,-1.813
SokobanLearning,0.520,763.048,1.371,260,-1.813
SokobanLearning,0.527,765.187,1.384,260,-1.814
SokobanLearning,0.522,767.276,1.378,260,-1.814
SokobanLearning,0.524,769.422,1.408,262,-1.815
SokobanLearning,0.523,771.543,1.377,260,-1.815
SokobanLearning,0.527,773.686,1.407,260,-1.815
SokobanLearning,0.527,775.818,1.382,262,-1.816
SokobanLearning,0.528,777.944,1.381,260,-1.816
SokobanLearning,0.530,780.101,1.416,260,-1.817
SokobanLearning,0.523,782.834,1.991,262,-1.817
SokobanLearning,0.524,785.070,1.514,260,-1.818
SokobanLearning,0.524,787.204,1.399,260,-1.818
SokobanLearning,0.522,789.349,1.409,262,-1.819
SokobanLearning,0.527,791.496,1.403,260,-1.819
SokobanLearning,0.526,793.637,1.408,260,-1.819
SokobanLearning,0.528,795.821,1.444,260,-1.819
SokobanLearning,0.527,798.007,1.429,262,-1.820
SokobanLearning,0.520,800.084,1.377,260,-1.820
SokobanLearning,0.527,802.244,1.446,260,-1.821
SokobanLearning,0.527,804.380,1.389,262,-1.821
SokobanLearning,0.525,806.475,1.343,260,-1.822
SokobanLearning,0.528,808.590,1.375,260,-1.822
SokobanLearning,0.525,810.739,1.402,262,-1.822
SokobanLearning,0.523,812.838,1.354,260,-1.823
SokobanLearning,0.525,814.947,1.362,260,-1.823
SokobanLearning,0.545,817.346,1.399,260,-1.823
SokobanLearning,0.523,819.514,1.423,262,-1.824
SokobanLearning,0.525,821.635,1.374,260,-1.824
SokobanLearning,0.524,823.756,1.378,260,-1.824
SokobanLearning,0.539,825.972,1.445,262,-1.825
SokobanLearning,0.525,828.165,1.431,260,-1.825
SokobanLearning,0.525,830.303,1.396,260,-1.826
SokobanLearning,0.525,832.441,1.389,262,-1.826
SokobanLearning,0.523,834.536,1.389,260,-1.826
SokobanLearning,0.526,836.656,1.377,260,-1.827
SokobanLearning,0.531,838.791,1.380,260,-1.827
SokobanLearning,0.525,840.926,1.385,262,-1.828
SokobanLearning,0.528,843.062,1.391,260,-1.828
SokobanLearning,0.526,845.198,1.390,260,-1.828
SokobanLearning,0.527,847.334,1.388,262,-1.829
SokobanLearning,0.522,849.448,1.392,260,-1.829
SokobanLearning,0.527,851.546,1.377,260,-1.829
SokobanLearning,0.525,853.705,1.425,262,-1.830
SokobanLearning,0.523,855.842,1.382,260,-1.830
SokobanLearning,0.522,857.971,1.382,260,-1.830
SokobanLearning,0.523,860.122,1.412,262,-1.831
SokobanLearning,0.527,862.249,1.377,260,-1.831
SokobanLearning,0.524,864.380,1.397,260,-1.831
SokobanLearning,0.526,866.449,1.364,260,-1.832
SokobanLearning,0.526,868.597,1.404,262,-1.832
SokobanLearning,0.528,870.742,1.383,260,-1.832
SokobanLearning,0.526,872.871,1.381,260,-1.833
SokobanLearning,0.529,875.014,1.402,262,-1.833
SokobanLearning,0.526,877.154,1.400,260,-1.833
SokobanLearning,0.524,879.278,1.388,260,-1.834
SokobanLearning,0.525,881.413,1.388,262,-1.834
SokobanLearning,0.523,883.503,1.380,260,-1.834
SokobanLearning,0.524,885.650,1.401,260,-1.835
SokobanLearning,0.527,887.773,1.385,260,-1.835
SokobanLearning,0.526,890.027,1.511,262,-1.836
SokobanLearning,0.527,891.932,1.176,260,-1.836
SokobanLearning,0.530,893.963,1.281,260,-1.836
SokobanLearning,0.524,896.135,1.432,262,-1.837
SokobanLearning,0.525,898.268,1.395,260,-1.837
SokobanLearning,0.526,900.381,1.417,260,-1.837
SokobanLearning,0.524,902.588,1.461,262,-1.837
SokobanLearning,0.524,904.705,1.376,260,-1.838
SokobanLearning,0.525,906.860,1.410,260,-1.838
SokobanLearning,0.523,908.993,1.383,260,-1.838
SokobanLearning,0.526,911.143,1.400,262,-1.839
SokobanLearning,0.523,913.216,1.359,260,-1.839
SokobanLearning,0.526,915.321,1.411,260,-1.839
SokobanLearning,0.527,917.457,1.402,262,-1.839
SokobanLearning,0.524,919.600,1.399,260,-1.842
SokobanLearning,0.522,921.712,1.369,257,-1.841
SokobanLearning,0.524,923.865,1.413,262,-1.842
SokobanLearning,0.520,925.955,1.371,260,-1.842
SokobanLearning,0.522,928.053,1.385,260,-1.842
SokobanLearning,0.524,930.206,1.400,260,-1.842
SokobanLearning,0.524,932.348,1.397,262,-1.843
SokobanLearning,0.525,934.479,1.402,260,-1.843
SokobanLearning,0.526,936.600,1.379,260,-1.843
SokobanLearning,0.525,938.754,1.409,262,-1.844
SokobanLearning,0.521,940.851,1.369,260,-1.844
SokobanLearning,0.527,942.967,1.371,260,-1.844
SokobanLearning,0.524,945.119,1.408,262,-1.844
SokobanLearning,0.527,947.262,1.394,260,-1.845
SokobanLearning,0.524,949.403,1.395,260,-1.845
SokobanLearning,0.523,951.484,1.373,262,-1.845
SokobanLearning,0.523,953.609,1.399,258,-1.844
SokobanLearning,0.526,955.732,1.371,260,-1.844
SokobanLearning,0.521,957.848,1.384,260,-1.844
SokobanLearning,0.525,960.019,1.425,262,-1.845
SokobanLearning,0.523,962.142,1.371,260,-1.845
SokobanLearning,0.523,964.243,1.380,260,-1.845
SokobanLearning,0.525,966.361,1.375,260,-1.845
SokobanLearning,0.525,968.539,1.429,262,-1.846
SokobanLearning,0.523,970.656,1.379,260,-1.846
SokobanLearning,0.525,972.790,1.394,260,-1.846
SokobanLearning,0.517,974.955,1.425,262,-1.847
SokobanLearning,0.526,977.035,1.359,260,-1.847
SokobanLearning,0.524,979.170,1.392,260,-1.847
SokobanLearning,0.525,981.336,1.424,262,-1.848
SokobanLearning,0.523,983.456,1.376,260,-1.848
SokobanLearning,0.527,985.567,1.363,260,-1.848
SokobanLearning,0.527,987.729,1.417,261,-1.849
SokobanLearning,0.525,989.847,1.378,260,-1.849
SokobanLearning,0.529,991.979,1.391,260,-1.850
SokobanLearning,0.526,994.126,1.393,262,-1.850
SokobanLearning,0.523,996.221,1.369,260,-1.850
SokobanLearning,0.525,998.313,1.372,262,-1.851
SokobanLearning,0.523,1000.447,1.391,260,-1.851
SokobanLearning,0.524,1002.567,1.376,260,-1.851
SokobanLearning,0.529,1004.649,1.374,257,-1.851
SokobanLearning,0.526,1006.797,1.406,262,-1.851
SokobanLearning,0.526,1008.921,1.380,260,-1.852
SokobanLearning,0.524,1011.024,1.359,260,-1.852
SokobanLearning,0.526,1013.131,1.370,260,-1.852
SokobanLearning,0.526,1015.249,1.376,262,-1.852
SokobanLearning,0.525,1017.374,1.384,260,-1.853
SokobanLearning,0.525,1019.523,1.411,260,-1.853
SokobanLearning,0.525,1021.653,1.388,262,-1.853
SokobanLearning,0.526,1023.777,1.369,260,-1.853
SokobanLearning,0.525,1025.927,1.409,260,-1.854
SokobanLearning,0.527,1028.086,1.411,262,-1.854
SokobanLearning,0.532,1030.252,1.413,260,-1.854
SokobanLearning,0.526,1032.366,1.370,260,-1.854
SokobanLearning,0.526,1034.484,1.377,260,-1.855
SokobanLearning,0.528,1036.609,1.385,262,-1.855
SokobanLearning,0.526,1038.699,1.370,260,-1.855
SokobanLearning,0.525,1040.810,1.364,260,-1.855
SokobanLearning,0.525,1042.973,1.412,262,-1.856
SokobanLearning,0.528,1045.141,1.433,260,-1.856
SokobanLearning,0.530,1047.225,1.350,260,-1.856
SokobanLearning,0.522,1049.231,1.295,262,-1.856
SokobanLearning,0.526,1051.346,1.360,260,-1.857
SokobanLearning,0.535,1053.481,1.380,260,-1.857
SokobanLearning,0.527,1055.682,1.449,260,-1.857
SokobanLearning,0.549,1057.864,1.413,262,-1.857
SokobanLearning,0.529,1060.200,1.601,260,-1.858
SokobanLearning,0.530,1062.342,1.428,260,-1.858
SokobanLearning,0.531,1064.471,1.412,262,-1.858
SokobanLearning,0.528,1066.600,1.415,260,-1.858
SokobanLearning,0.529,1068.783,1.457,260,-1.859
SokobanLearning,0.522,1070.669,1.171,262,-1.859
SokobanLearning,0.535,1072.772,1.357,260,-1.859
SokobanLearning,0.528,1074.644,1.169,260,-1.859
SokobanLearning,0.526,1076.714,1.357,262,-1.860
SokobanLearning,0.526,1078.893,1.426,260,-1.860
SokobanLearning,0.528,1081.048,1.403,260,-1.860
SokobanLearning,0.528,1083.246,1.455,260,-1.860
SokobanLearning,0.527,1085.355,1.364,262,-1.861
SokobanLearning,0.527,1087.517,1.414,260,-1.861
SokobanLearning,0.548,1089.885,1.600,260,-1.861
SokobanLearning,0.551,1092.126,1.475,262,-1.861
SokobanLearning,0.525,1094.262,1.418,260,-1.861
SokobanLearning,0.534,1096.387,1.374,260,-1.862
